"code","value"
"🫶","304,261"
"😭","251,222"
"❤️","229,678"
"😊","191,040"
"✅","176,098"
"🫶🏻","168,332"
"✨","157,181"
"🥹","141,139"
"🥰","137,495"
"🔥","114,442"
"🫵","109,809"
"✔️","109,054"
"⭐","97,943"
"🫡","97,506"
"💀","96,069"
"😂","93,260"
"☺️","85,870"
"🙏","84,685"
"🥺","84,435"
"😘","79,982"
"🇵🇭","75,708"
"📍","71,585"
"😔","70,168"
"😍","68,386"
"😅","67,980"
"🤍","67,614"
"😉","66,339"
"🫰","65,914"
"🩷","61,883"
"🤣","61,087"
"📌","58,840"
"🤭","57,806"
"❌","57,493"
"🫂","57,028"
"🥵","56,482"
"❤️‍🩹","55,939"
"👉","51,470"
"🎉","50,170"
"💙","48,790"
"👀","48,498"
"😈","46,611"
"🫦","45,757"
"💖","45,442"
"😆","45,337"
"💗","41,386"
"😏","40,670"
"😁","39,785"
"🤔","39,597"
"📷","38,891"
"😋","38,742"
"🙄","38,448"
"👍","37,346"
"🫶🏼","37,293"
"💯","37,001"
"🤩","35,110"
"🥳","34,624"
"🫵🏻","34,254"
"💸","33,349"
"👑","32,990"
"💚","32,802"
"😎","31,985"
"‼️","31,696"
"💔","31,277"
"😝","30,747"
"👇","30,612"
"🫣","30,318"
"💜","29,472"
"🤨","29,439"
"🫩","28,676"
"💛","28,599"
"🌟","28,013"
"💪","27,585"
"❗","27,302"
"😮‍💨","27,235"
"➡️","27,024"
"😇","26,778"
"⬇️","25,768"
"🥀","25,330"
"🤗","25,186"
"❤️‍🔥","24,937"
"🖤","24,918"
"🏆","24,789"
"🙂","24,603"
"👋","24,571"
"🔴","24,257"
"⚠️","24,154"
"🫰🏻","23,915"
"🎄","23,811"
"😡","23,790"
"☀️","23,180"
"🥲","22,578"
"🔗","22,234"
"😢","22,205"
"🤑","22,141"
"🎀","22,085"
"🎁","21,806"
"🎂","21,753"
"🌸","21,739"
"💋","21,712"
"😜","21,686"
"😱","21,606"
"🫠","21,525"
"🖕","21,491"
"📢","21,374"
"🤤","21,262"
"💦","20,458"
"🗣️","20,301"
"😄","19,992"
"🇺🇸","19,951"
"🤪","19,865"
"💡","19,791"
"📅","19,703"
"🧿","19,522"
"📞","19,290"
"🛒","19,178"
"🤓","18,976"
"💬","18,924"
"🩵","18,612"
"😞","18,486"
"😚","18,325"
"😩","18,177"
"💕","18,079"
"🌊","17,979"
"🧡","17,958"
"☕","17,920"
"🚀","17,848"
"🫀","17,700"
"📝","17,654"
"🙂‍↕️","17,521"
"😥","17,187"
"😳","17,107"
"🙌","17,070"
"👏","17,013"
"😌","16,972"
"💰","16,955"
"📣","16,690"
"🤝","16,625"
"✈️","16,623"
"🤫","16,520"
"🎵","15,812"
"😀","15,775"
"😒","15,655"
"📧","15,593"
"☑️","15,468"
"🚨","15,241"
"😠","15,033"
"💎","14,992"
"😴","14,972"
"🗿","14,930"
"🥶","14,904"
"⚡","14,664"
"☹️","14,644"
"💞","14,351"
"💥","14,292"
"🎶","14,277"
"👻","14,050"
"🤯","13,888"
"🏳️‍🌈","13,834"
"👌","13,811"
"🏠","13,741"
"📚","13,733"
"🥱","13,580"
"☠️","13,535"
"😛","13,418"
"📱","13,397"
"👅","13,313"
"😓","13,032"
"📸","12,946"
"🐶","12,786"
"🔫","12,778"
"🎮","12,693"
"🎨","12,680"
"🌻","12,505"
"📖","12,483"
"😫","12,254"
"🫧","12,239"
"✌️","12,119"
"😟","12,113"
"🇯🇵","11,913"
"🎥","11,890"
"💻","11,843"
"🤎","11,805"
"😤","11,750"
"🧠","11,729"
"🟢","11,652"
"🥇","11,630"
"🫨","11,561"
"🤬","11,470"
"🤖","11,420"
"🍀","11,366"
"🩸","11,360"
"💩","11,355"
"💅","11,282"
"🐾","11,281"
"😵‍💫","11,153"
"🤡","11,138"
"🪫","10,974"
"😃","10,936"
"❄️","10,809"
"😲","10,688"
"🌐","10,651"
"🙂‍↔️","10,613"
"🥂","10,601"
"🤞","10,558"
"📈","10,552"
"🌈","10,481"
"✍️","10,437"
"🍆","10,320"
"🎃","10,249"
"🙏🏻","10,146"
"🏀","10,137"
"🍃","10,047"
"🙈","10,045"
"⏰","10,038"
"😑","9,910"
"🌹","9,899"
"🎧","9,894"
"🌷","9,544"
"🥷","9,520"
"🦋","9,476"
"🐱","9,463"
"😕","9,371"
"🪽","9,348"
"😮","9,348"
"❓","9,309"
"🤮","9,244"
"🙁","9,048"
"📩","9,029"
"🫶🏽","9,004"
"💐","8,942"
"🎯","8,932"
"😨","8,882"
"💌","8,857"
"☝️","8,728"
"🌼","8,557"
"🎤","8,543"
"🙃","8,495"
"👾","8,466"
"🚗","8,451"
"🍑","8,366"
"🍓","8,279"
"🎓","8,276"
"🤏","8,271"
"🕊️","8,055"
"🌞","8,051"
"👽","8,043"
"💍","8,020"
"🌱","7,910"
"🏡","7,904"
"🚩","7,868"
"⚔️","7,851"
"🇰🇷","7,804"
"♾️","7,674"
"⬆️","7,649"
"🔵","7,593"
"🩶","7,553"
"😰","7,540"
"🥴","7,510"
"💝","7,493"
"🇹🇭","7,463"
"🪬","7,304"
"🌙","7,302"
"⚕️","7,186"
"🛍️","7,174"
"✏️","7,112"
"💭","7,065"
"🫵🏼","6,922"
"👹","6,904"
"💤","6,883"
"🟡","6,875"
"🦅","6,859"
"🔑","6,853"
"🌿","6,772"
"🕯️","6,758"
"🧐","6,723"
"🧸","6,712"
"🔔","6,700"
"🪄","6,691"
"🎅","6,676"
"💓","6,647"
"🎆","6,590"
"🦖","6,581"
"🌎","6,525"
"☁️","6,507"
"😣","6,481"
"📲","6,462"
"😐","6,454"
"🍔","6,416"
"😬","6,415"
"💫","6,407"
"👈","6,387"
"🔒","6,380"
"🔊","6,366"
"🤦","6,347"
"⚙️","6,328"
"🤌","6,275"
"🚬","6,249"
"🌴","6,188"
"🖥️","6,141"
"🎊","6,130"
"🇹🇼","6,126"
"🐈","6,116"
"🍎","6,108"
"😙","6,064"
"🇨🇳","5,998"
"😖","5,996"
"🍒","5,978"
"🎈","5,961"
"🏅","5,959"
"🎸","5,953"
"🗓️","5,927"
"🤒","5,889"
"🤸","5,887"
"💲","5,886"
"☎️","5,861"
"🇦🇺","5,831"
"🍫","5,818"
"🤧","5,783"
"1️⃣","5,769"
"🪩","5,762"
"🍽️","5,753"
"🖼️","5,750"
"✉️","5,745"
"📦","5,731"
"🤙","5,716"
"📜","5,700"
"🌺","5,685"
"🐝","5,679"
"😻","5,657"
"⚫","5,632"
"📋","5,625"
"🇬🇧","5,625"
"🍕","5,563"
"👊","5,541"
"🫰🏼","5,504"
"💃","5,456"
"😹","5,452"
"🐉","5,432"
"👿","5,385"
"❎","5,378"
"🔍","5,353"
"🔪","5,316"
"😗","5,310"
"👁️","5,273"
"💨","5,254"
"💵","5,241"
"💘","5,219"
"🩺","5,176"
"🛡️","5,165"
"🌧️","5,141"
"🐈‍⬛","5,116"
"🔎","5,091"
"🏃","5,077"
"🐕","5,060"
"🐟","5,028"
"😵","4,990"
"🪷","4,988"
"🤢","4,969"
"🍵","4,962"
"📹","4,917"
"🍻","4,898"
"🔞","4,881"
"💢","4,877"
"🏳️","4,876"
"▶️","4,876"
"🍰","4,864"
"🌒","4,851"
"🧋","4,807"
"🫢","4,803"
"🚫","4,777"
"✖️","4,754"
"🙇","4,738"
"🏍️","4,732"
"🇸🇬","4,728"
"🍪","4,721"
"🚚","4,710"
"🍿","4,691"
"💼","4,624"
"📺","4,611"
"⚜️","4,588"
"🙏🏼","4,541"
"🍌","4,507"
"🏳️‍⚧️","4,505"
"🛠️","4,500"
"🐰","4,499"
"😪","4,480"
"😼","4,466"
"🇨🇦","4,455"
"⚖️","4,441"
"2️⃣","4,429"
"🪞","4,409"
"🎭","4,395"
"🎙️","4,384"
"🏖️","4,380"
"🌳","4,369"
"😿","4,357"
"🍜","4,354"
"🛏️","4,352"
"❣️","4,344"
"💪🏿","4,342"
"🍂","4,332"
"🥚","4,323"
"🖊️","4,323"
"🟠","4,317"
"🏷️","4,272"
"🏫","4,255"
"💧","4,254"
"🐼","4,254"
"🤐","4,241"
"👎","4,238"
"🏢","4,238"
"🐦‍🔥","4,222"
"🪐","4,202"
"👶","4,191"
"🪼","4,184"
"🇮🇹","4,179"
"⛰️","4,174"
"🫃","4,170"
"🍉","4,163"
"⌛","4,145"
"🍦","4,141"
"🇭🇰","4,139"
"🍄","4,121"
"🌠","4,120"
"🇻🇳","4,117"
"🍊","4,109"
"😶‍🌫️","4,107"
"🧊","4,068"
"✝️","4,062"
"🎬","4,027"
"🎫","3,999"
"⁉️","3,996"
"🤦‍♀️","3,954"
"🌶️","3,934"
"🇪🇸","3,922"
"🏐","3,914"
"🍁","3,912"
"👄","3,893"
"💉","3,887"
"🤷","3,875"
"🐻","3,875"
"🐺","3,875"
"🫶🏾","3,864"
"😶","3,859"
"🗺️","3,845"
"💳","3,844"
"🦁","3,842"
"🦷","3,831"
"⚪","3,815"
"💊","3,812"
"🇮🇩","3,805"
"📊","3,803"
"🇩🇪","3,797"
"🇫🇷","3,796"
"📁","3,790"
"🪙","3,781"
"🤘","3,766"
"🔹","3,745"
"👋🏻","3,693"
"🍩","3,692"
"🥊","3,676"
"🍗","3,666"
"🍳","3,663"
"🍟","3,636"
"💪🏻","3,627"
"👪","3,602"
"🧹","3,586"
"🦴","3,583"
"🌏","3,568"
"🌌","3,559"
"🥤","3,541"
"👺","3,524"
"🍭","3,516"
"🤕","3,509"
"🥭","3,499"
"⭕","3,492"
"😾","3,491"
"🇵🇸","3,491"
"🎲","3,489"
"🥈","3,478"
"🟥","3,474"
"🐐","3,469"
"🍇","3,456"
"🐍","3,450"
"🎱","3,435"
"🦊","3,433"
"✂️","3,428"
"🍬","3,421"
"⛪","3,416"
"⚽","3,407"
"3️⃣","3,396"
"👕","3,388"
"✍🏻","3,383"
"🇦🇪","3,382"
"🪨","3,379"
"🎞️","3,376"
"🍷","3,376"
"🏝️","3,366"
"✋","3,358"
"🇲🇾","3,352"
"🧁","3,343"
"🍺","3,326"
"🍲","3,309"
"🐯","3,299"
"🤝🏻","3,297"
"🎇","3,288"
"⌚","3,280"
"💣","3,272"
"💟","3,264"
"🏴‍☠️","3,261"
"👨🏿","3,259"
"👸","3,248"
"🏹","3,223"
"🌲","3,217"
"🏎️","3,203"
"🧧","3,179"
"🍨","3,173"
"🎖️","3,164"
"🍴","3,157"
"🥷🏿","3,148"
"👟","3,125"
"🤷‍♀️","3,122"
"🟣","3,120"
"🙇‍♀️","3,118"
"👣","3,116"
"🗒️","3,097"
"🔛","3,067"
"🎟️","3,062"
"ℹ️","3,025"
"🔝","3,021"
"👍🏻","3,020"
"🪻","3,016"
"🔮","3,015"
"🤠","3,008"
"🥉","2,993"
"✊","2,993"
"🐷","2,983"
"🗑️","2,971"
"🐢","2,971"
"👆","2,970"
"👩","2,968"
"▪️","2,964"
"🐔","2,951"
"📕","2,949"
"👏🏻","2,948"
"🍞","2,948"
"🫶🏿","2,936"
"🍣","2,934"
"📉","2,931"
"🐒","2,923"
"🦈","2,913"
"⏳","2,912"
"©️","2,910"
"🔸","2,905"
"👧","2,904"
"🛑","2,896"
"🖕🏻","2,894"
"🐇","2,893"
"🧢","2,892"
"👉🏻","2,892"
"🗡️","2,862"
"👥","2,846"
"🤟","2,841"
"🔨","2,837"
"🙌🏻","2,830"
"🐧","2,824"
"🟩","2,823"
"☃️","2,822"
"📆","2,812"
"😽","2,808"
"🔰","2,807"
"📰","2,807"
"🚧","2,804"
"🐸","2,798"
"⬛","2,798"
"🦇","2,796"
"😸","2,791"
"☂️","2,790"
"⤵️","2,776"
"🧍","2,771"
"👗","2,770"
"🦄","2,763"
"🌘","2,759"
"🛜","2,753"
"🥛","2,732"
"🩹","2,727"
"🕷️","2,724"
"🎰","2,720"
"♥️","2,719"
"📄","2,716"
"🍝","2,708"
"🛐","2,705"
"🏁","2,686"
"🪦","2,684"
"😯","2,684"
"🖌️","2,684"
"🍋","2,676"
"➕","2,667"
"🥩","2,662"
"🧀","2,661"
"👤","2,655"
"🏸","2,653"
"📥","2,636"
"🥕","2,630"
"☄️","2,625"
"🕺","2,621"
"🐚","2,616"
"🔋","2,605"
"💄","2,595"
"🪑","2,593"
"🌔","2,582"
"🌅","2,575"
"😺","2,569"
"🥁","2,563"
"🤞🏻","2,548"
"👩‍🏫","2,540"
"🤦‍♂️","2,524"
"🐋","2,497"
"🚢","2,493"
"🍅","2,478"
"🫥","2,463"
"🚪","2,463"
"👇🏻","2,457"
"📘","2,456"
"🫐","2,455"
"💮","2,454"
"🙀","2,446"
"🐦","2,431"
"👓","2,429"
"🤰","2,417"
"⏱️","2,414"
"🧎","2,401"
"⬅️","2,401"
"🟦","2,397"
"🛵","2,393"
"📎","2,387"
"👼","2,382"
"⬜","2,375"
"🇮🇳","2,371"
"🧟","2,369"
"🦉","2,363"
"👙","2,362"
"🦌","2,359"
"📓","2,356"
"🌃","2,329"
"🛞","2,323"
"🥸","2,311"
"🎒","2,302"
"4️⃣","2,284"
"🙋","2,283"
"📒","2,279"
"🧳","2,275"
"🍹","2,267"
"♠️","2,266"
"🌀","2,253"
"👨","2,237"
"🍾","2,235"
"💅🏻","2,232"
"🌭","2,232"
"🕶️","2,228"
"🥗","2,219"
"🫸","2,216"
"🏃‍♀️","2,208"
"🐦‍⬛","2,205"
"📽️","2,204"
"🚌","2,201"
"🕸️","2,186"
"♀️","2,182"
"👦","2,178"
"🌕","2,172"
"🌖","2,170"
"🆙","2,168"
"🩰","2,158"
"🐣","2,157"
"🧩","2,143"
"🚽","2,138"
"🦆","2,121"
"🍍","2,118"
"🌑","2,111"
"🎹","2,097"
"🧬","2,096"
"⚓","2,092"
"⚰️","2,088"
"🔧","2,078"
"🕹️","2,070"
"🧷","2,068"
"🍚","2,065"
"🧪","2,060"
"🥥","2,058"
"🐊","2,051"
"💿","2,041"
"😧","2,039"
"🪪","2,033"
"💪🏼","2,033"
"🪶","2,032"
"⛩️","2,032"
"🪭","2,031"
"♟️","2,028"
"🪖","2,025"
"🕰️","2,009"
"🧍‍♀️","2,007"
"🍯","1,996"
"🌽","1,993"
"🐘","1,991"
"⛔","1,986"
"🃏","1,983"
"🔓","1,981"
"☘️","1,977"
"🇷🇺","1,976"
"🇲🇽","1,963"
"🏥","1,959"
"🐎","1,946"
"🧱","1,942"
"🅰️","1,925"
"🧺","1,917"
"👮","1,912"
"🤷‍♂️","1,911"
"🟨","1,911"
"🫁","1,906"
"😷","1,905"
"🧎‍♀️","1,904"
"👂","1,899"
"🥬","1,894"
"💁‍♀️","1,887"
"🥐","1,885"
"👨‍🍳","1,883"
"🦝","1,879"
"🪳","1,876"
"✒️","1,875"
"🦠","1,872"
"🔐","1,867"
"🪵","1,865"
"🥞","1,861"
"🥋","1,858"
"♻️","1,858"
"🙇🏻‍♀️","1,853"
"🤳","1,848"
"🌾","1,843"
"🖋️","1,840"
"🏊","1,839"
"🥪","1,828"
"🙅","1,827"
"🤥","1,823"
"🦸","1,821"
"🏛️","1,820"
"🤏🏻","1,811"
"🇳🇿","1,811"
"🍸","1,806"
"🇧🇷","1,803"
"👜","1,800"
"🌬️","1,790"
"❔","1,789"
"🇳","1,788"
"🧵","1,787"
"🌇","1,785"
"🫵🏽","1,781"
"🏨","1,774"
"🥘","1,770"
"🐀","1,769"
"🗳️","1,754"
"🧼","1,753"
"📨","1,753"
"🐬","1,747"
"🫴","1,743"
"👌🏻","1,740"
"🚲","1,730"
"🔁","1,724"
"🍏","1,721"
"🧾","1,716"
"🦀","1,711"
"🔱","1,710"
"👔","1,699"
"🎅🏻","1,698"
"☔","1,697"
"🅱️","1,692"
"🙏🏽","1,688"
"🛫","1,686"
"🥦","1,674"
"⛓️","1,674"
"🔖","1,671"
"📃","1,669"
"🏰","1,667"
"👨‍💻","1,658"
"🙊","1,653"
"💃🏻","1,643"
"🙋‍♀️","1,642"
"⛈️","1,640"
"🧍‍♂️","1,638"
"🤷🏻‍♀️","1,638"
"🔬","1,622"
"🍼","1,622"
"👩‍💻","1,617"
"🧚","1,614"
"🤲","1,611"
"🥷🏻","1,604"
"☢️","1,602"
"🎼","1,595"
"🥒","1,592"
"🍛","1,592"
"⛅","1,591"
"🤸‍♀️","1,586"
"🏋️","1,581"
"👷","1,579"
"5️⃣","1,578"
"🇪","1,570"
"⛓️‍💥","1,564"
"❇️","1,563"
"👶🏻","1,558"
"♂️","1,557"
"🔄","1,556"
"🥟","1,554"
"🎾","1,542"
"🦢","1,539"
"🌮","1,539"
"🫵🏿","1,538"
"🛋️","1,537"
"🐻‍❄️","1,537"
"🐙","1,537"
"🐄","1,534"
"🧻","1,533"
"🧚‍♀️","1,530"
"🧭","1,527"
"☮️","1,521"
"🥔","1,518"
"🚿","1,512"
"🇮🇱","1,512"
"🏦","1,508"
"🥢","1,505"
"🫷","1,504"
"🩴","1,486"
"🚶","1,479"
"🦐","1,463"
"🌋","1,450"
"🇲🇴","1,447"
"🧑‍💻","1,444"
"🦭","1,443"
"🧛","1,440"
"🧘","1,438"
"🛹","1,438"
"🥑","1,437"
"🇬","1,437"
"🛬","1,436"
"🤦🏻‍♀️","1,432"
"📗","1,430"
"🏓","1,421"
"🤌🏻","1,417"
"🍱","1,416"
"🧑‍🏫","1,412"
"🧃","1,406"
"🌍","1,404"
"🗂️","1,402"
"👐","1,401"
"🫳","1,399"
"🖨️","1,399"
"👉🏼","1,393"
"🇳🇱","1,393"
"📑","1,391"
"👩🏻","1,386"
"🧎🏻‍♀️","1,384"
"🔺","1,383"
"👋🏼","1,381"
"👸🏻","1,376"
"🍙","1,376"
"💠","1,375"
"📏","1,374"
"⛵","1,373"
"🪴","1,371"
"🚘","1,369"
"🎩","1,368"
"🐠","1,364"
"🪏","1,362"
"🐹","1,359"
"🥓","1,358"
"✍🏼","1,355"
"🎗️","1,352"
"🇨🇭","1,349"
"🛎️","1,347"
"⛏️","1,346"
"🥧","1,338"
"🐥","1,332"
"🏵️","1,331"
"🦶","1,328"
"🤿","1,327"
"😦","1,327"
"🕵️","1,319"
"👴","1,315"
"🐜","1,315"
"👠","1,312"
"🥜","1,311"
"🫰🏽","1,303"
"🇸🇦","1,295"
"🔜","1,288"
"™️","1,288"
"🍥","1,286"
"🗽","1,284"
"👩‍⚕️","1,281"
"🆗","1,279"
"🏙️","1,278"
"💑","1,274"
"🧜‍♀️","1,273"
"🫟","1,271"
"🛸","1,270"
"🛣️","1,267"
"👩‍❤️‍👨","1,264"
"🫘","1,263"
"🏗️","1,262"
"🍖","1,260"
"👇🏼","1,254"
"🐓","1,252"
"🙋‍♂️","1,247"
"🍡","1,246"
"♨️","1,242"
"🤙🏻","1,241"
"📿","1,241"
"👧🏻","1,241"
"👨‍👩‍👧","1,231"
"🌪️","1,231"
"🧑","1,229"
"🙌🏼","1,229"
"🆕","1,224"
"📔","1,217"
"🇸","1,214"
"☝🏻","1,214"
"🪢","1,211"
"📻","1,211"
"🎣","1,207"
"☯️","1,206"
"🐛","1,205"
"🙅‍♀️","1,204"
"🐳","1,201"
"🌵","1,201"
"🦾","1,199"
"🐑","1,197"
"🩻","1,195"
"🧶","1,195"
"🦜","1,185"
"🐞","1,181"
"🕒","1,179"
"🐲","1,179"
"🛌","1,178"
"🖱️","1,176"
"♦️","1,176"
"🤸🏻‍♀️","1,174"
"📂","1,172"
"👨‍🦲","1,169"
"🏮","1,169"
"🪱","1,168"
"🌡️","1,167"
"🇱","1,163"
"💒","1,162"
"🪓","1,161"
"🧥","1,161"
"🔻","1,158"
"⏲️","1,153"
"🙉","1,151"
"👖","1,151"
"🗝️","1,150"
"✌🏻","1,150"
"❕","1,148"
"🧑‍💼","1,147"
"⌨️","1,147"
"👩🏻‍💻","1,146"
"🪡","1,143"
"🏞️","1,142"
"🐵","1,140"
"🏃‍♂️","1,139"
"🏕️","1,136"
"🇷","1,131"
"🦑","1,130"
"👁️‍🗨️","1,129"
"🦍","1,128"
"🖕🏿","1,123"
"🥖","1,121"
"🍮","1,118"
"🤺","1,109"
"🕗","1,109"
"⚒️","1,109"
"🟧","1,108"
"🔌","1,108"
"🌄","1,105"
"🧨","1,104"
"🇮","1,104"
"🚦","1,101"
"👩🏻‍🏫","1,100"
"🦟","1,093"
"🏘️","1,093"
"🍋‍🟩","1,093"
"🤸🏻","1,092"
"🗨️","1,078"
"🇹","1,075"
"🇨🇴","1,072"
"🫆","1,069"
"🙅‍♂️","1,068"
"👍🏼","1,067"
"🧏","1,062"
"🐤","1,062"
"🇺","1,061"
"👫","1,060"
"🐖","1,060"
"6️⃣","1,058"